exchange,symbol,expiry,strike,call_gex,put_gex,call_oi,put_oi,spot_price
Bybit,BTC,2026-04-24,73000.0,0.0,-12276128.901237188,0.0,33.47,75216.8
Bybit,BTC,2026-04-24,74000.0,10965517.862496179,-17597597.38633182,27.43,44.02,75216.8
Bybit,BTC,2026-04-24,75000.0,19609766.534835096,0.0,46.55,0.0,75216.8
Bybit,BTC,2026-04-24,76000.0,11671905.83720826,0.0,27.3,0.0,75216.8
Bybit,BTC,2026-04-24,77000.0,29188011.062683113,0.0,70.03,0.0,75216.8
Bybit,BTC,2026-04-24,78000.0,30667170.074528053,0.0,78.65,0.0,75216.8
Bybit,BTC,2026-04-24,80000.0,46571063.89042608,0.0,153.92,0.0,75216.8
Bybit,BTC,2026-04-24,82000.0,11676427.36475645,0.0,57.06,0.0,75216.8
Bybit,BTC,2026-05-29,83000.0,34988229.090831,0.0,199.43,0.0,75216.8
Bybit,BTC,2026-06-26,74000.0,10696404.372900628,0.0,69.92,0.0,75216.8
Bybit,ETH,2026-04-15,2300.0,0.0,-20053840.638769913,0.0,1826.8,2388.15
Bybit,ETH,2026-04-15,2325.0,0.0,-12125996.956906304,0.0,760.1,2388.15
Bybit,ETH,2026-04-15,2350.0,0.0,-10875669.349438291,0.0,515.0,2388.15
Bybit,ETH,2026-04-15,2375.0,15811224.42609083,-24303958.817550067,654.4,1005.9,2388.15
Bybit,ETH,2026-04-15,2400.0,19174987.72992309,0.0,788.7,0.0,2388.15
Bybit,ETH,2026-04-15,2450.0,27278358.576119926,0.0,1655.1,0.0,2388.15
Bybit,ETH,2026-04-15,2500.0,20621994.149433695,0.0,2253.3,0.0,2388.15
Bybit,ETH,2026-04-17,2400.0,14978995.676901203,0.0,880.4,0.0,2388.15
Bybit,ETH,2026-04-17,2500.0,13464314.568831332,0.0,1091.8,0.0,2388.15
Bybit,ETH,2026-04-24,2400.0,10392640.787545245,0.0,1133.6,0.0,2388.15
Bybit,ETH,2026-05-29,2400.0,26415545.63665381,0.0,6144.9,0.0,2388.15
Bybit,ETH,2026-05-29,2500.0,42116314.55617798,0.0,9734.9,0.0,2388.15
Bybit,ETH,2026-06-26,2600.0,34497824.9246931,0.0,10330.1,0.0,2388.15
Deribit,BTC,2026-04-15,71500.0,0.0,-21993859.189256176,0.0,129.4,75270.18
Deribit,BTC,2026-04-15,72000.0,14571923.192881731,-20237523.19011413,64.3,89.3,75270.18
Deribit,BTC,2026-04-15,72500.0,81346684.76026279,-28860566.385901842,239.3,84.9,75270.18
Deribit,BTC,2026-04-15,73000.0,22639737.58894067,-37732895.98156778,44.4,74.0,75270.18
Deribit,BTC,2026-04-15,73500.0,11563489.594351325,-46990486.37704551,15.7,63.8,75270.18
Deribit,BTC,2026-04-15,74000.0,55579535.97284984,-39772511.98057144,54.5,39.0,75270.18
Deribit,BTC,2026-04-15,74500.0,68281811.16664487,-77273118.3622527,52.4,59.3,75270.18
Deribit,BTC,2026-04-15,75000.0,135407839.9338543,-36259839.982287355,95.6,25.6,75270.18
Deribit,BTC,2026-04-15,75500.0,138172652.7325037,-14877865.592732279,93.8,10.1,75270.18
Deribit,BTC,2026-04-15,76000.0,180347379.11190173,0.0,138.4,0.0,75270.18
Deribit,BTC,2026-04-15,77000.0,124212614.33932309,0.0,156.6,0.0,75270.18
Deribit,BTC,2026-04-15,78000.0,32718839.984017104,0.0,82.5,0.0,75270.18
Deribit,BTC,2026-04-15,79000.0,14175331.193075463,0.0,83.4,0.0,75270.18
Deribit,BTC,2026-04-16,69500.0,0.0,-11705129.594282137,0.0,103.3,75270.18
