ts_utc,symbol,expiry,strike,call_gex,put_gex,spot_price,total_gex,abs_gex
2026-03-10 17:10:28.167003+00:00,BTC,2026-03-13,66500.0,0.0,-12358697.739688756,71403.59,-12358697.739688756,12358697.739688756
2026-03-10 17:10:28.167003+00:00,BTC,2026-03-13,67000.0,67529270.44644287,-114511696.05338672,71403.59,-46982425.606943846,182040966.4998296
2026-03-10 17:10:28.167003+00:00,BTC,2026-03-13,67500.0,0.0,-15448372.174610943,71403.59,-15448372.174610943,15448372.174610943
2026-03-10 17:10:28.167003+00:00,BTC,2026-03-13,68000.0,169952487.81137988,-101571772.42990072,71403.59,68380715.38147916,271524260.2412806
2026-03-10 17:10:28.167003+00:00,BTC,2026-03-13,68500.0,0.0,-11012700.956158295,71403.59,-11012700.956158295,11012700.956158295
2026-03-10 17:10:28.167003+00:00,BTC,2026-03-13,69000.0,167071850.75571817,-159913595.13421527,71403.59,7158255.621502906,326985445.88993347
2026-03-10 17:10:28.167003+00:00,BTC,2026-03-13,69500.0,18966318.313383736,-18966318.313383736,71403.59,0.0,37932636.62676747
2026-03-10 17:10:28.167003+00:00,BTC,2026-03-13,70000.0,528640236.7315875,-228146454.8084127,71403.59,300493781.92317486,756786691.5400002
2026-03-10 17:10:28.167003+00:00,BTC,2026-03-13,70500.0,0.0,-17253231.49798133,71403.59,-17253231.49798133,17253231.49798133
2026-03-10 17:10:28.167003+00:00,BTC,2026-03-13,71000.0,783308946.342748,-92812596.39162296,71403.59,690496349.9511251,876121542.734371
2026-03-10 17:10:28.167003+00:00,BTC,2026-03-13,72000.0,678260015.5553936,-64607845.60946199,71403.59,613652169.9459316,742867861.1648556
2026-03-10 17:10:28.167003+00:00,BTC,2026-03-13,73000.0,426232314.7846452,-33313420.392378844,71403.59,392918894.39226633,459545735.17702407
2026-03-10 17:10:28.167003+00:00,BTC,2026-03-13,74000.0,539622346.8517565,0.0,71403.59,539622346.8517565,539622346.8517565
2026-03-10 17:10:28.167003+00:00,BTC,2026-03-13,75000.0,688732278.4090737,0.0,71403.59,688732278.4090737,688732278.4090737
2026-03-10 17:10:28.167003+00:00,BTC,2026-03-13,76000.0,389319372.6908553,0.0,71403.59,389319372.6908553,389319372.6908553
2026-03-10 17:10:28.167003+00:00,BTC,2026-03-13,78000.0,68013625.34960726,0.0,71403.59,68013625.34960726,68013625.34960726
2026-03-10 17:10:28.167003+00:00,BTC,2026-03-13,80000.0,101520787.70325185,0.0,71403.59,101520787.70325185,101520787.70325185
2026-03-10 17:10:28.167003+00:00,BTC,2026-03-14,69000.0,0.0,-11379790.988030238,71403.59,-11379790.988030238,11379790.988030238
2026-03-10 17:10:28.167003+00:00,BTC,2026-03-14,69500.0,0.0,-69747106.0556692,71403.59,-69747106.0556692,69747106.0556692
2026-03-10 17:10:28.167003+00:00,BTC,2026-03-14,71500.0,10711891.0689299,0.0,71403.59,10711891.0689299,10711891.0689299
2026-03-10 17:10:28.167003+00:00,BTC,2026-03-14,72000.0,70889163.93260415,0.0,71403.59,70889163.93260415,70889163.93260415
2026-03-10 17:10:28.167003+00:00,BTC,2026-03-14,73000.0,15550341.627908705,0.0,71403.59,15550341.627908705,15550341.627908705
2026-03-10 17:10:28.167003+00:00,BTC,2026-03-20,55000.0,0.0,-37687909.93885284,71403.59,-37687909.93885284,37687909.93885284
2026-03-10 17:10:28.167003+00:00,BTC,2026-03-20,58000.0,0.0,-32365104.47670966,71403.59,-32365104.47670966,32365104.47670966
2026-03-10 17:10:28.167003+00:00,BTC,2026-03-20,60000.0,0.0,-32298824.332066115,71403.59,-32298824.332066115,32298824.332066115
2026-03-10 17:10:28.167003+00:00,BTC,2026-03-20,61000.0,0.0,-37106684.05505559,71403.59,-37106684.05505559,37106684.05505559
2026-03-10 17:10:28.167003+00:00,BTC,2026-03-20,62000.0,0.0,-58530466.19291539,71403.59,-58530466.19291539,58530466.19291539
2026-03-10 17:10:28.167003+00:00,BTC,2026-03-20,63000.0,0.0,-20659011.23812658,71403.59,-20659011.23812658,20659011.23812658
2026-03-10 17:10:28.167003+00:00,BTC,2026-03-20,64000.0,0.0,-34858257.60983994,71403.59,-34858257.60983994,34858257.60983994
2026-03-10 17:10:28.167003+00:00,BTC,2026-03-20,65000.0,0.0,-91313645.42814586,71403.59,-91313645.42814586,91313645.42814586
2026-03-10 17:10:28.167003+00:00,BTC,2026-03-20,66000.0,16009204.167748636,-40604236.303168826,71403.59,-24595032.13542019,56613440.47091746
2026-03-10 17:10:28.167003+00:00,BTC,2026-03-20,67000.0,38544453.34655403,-49837570.29928118,71403.59,-11293116.952727146,88382023.64583522
2026-03-10 17:10:28.167003+00:00,BTC,2026-03-20,68000.0,261526155.3454351,-102632254.74419746,71403.59,158893900.60123765,364158410.0896326
2026-03-10 17:10:28.167003+00:00,BTC,2026-03-20,69000.0,225913323.7811917,-88805196.87702091,71403.59,137108126.9041708,314718520.6582126
2026-03-10 17:10:28.167003+00:00,BTC,2026-03-20,70000.0,112482503.93276125,-49801880.99062696,71403.59,62680622.94213429,162284384.9233882
2026-03-10 17:10:28.167003+00:00,BTC,2026-03-20,71000.0,188653685.5461895,-39248042.5743086,71403.59,149405642.97188088,227901728.1204981
2026-03-10 17:10:28.167003+00:00,BTC,2026-03-20,72000.0,127517899.82151626,-15524849.264584262,71403.59,111993050.556932,143042749.08610052
2026-03-10 17:10:28.167003+00:00,BTC,2026-03-20,73000.0,192472441.5721906,-12812461.806863792,71403.59,179659979.76532683,205284903.3790544
2026-03-10 17:10:28.167003+00:00,BTC,2026-03-20,74000.0,142583886.5462606,-12756378.607550027,71403.59,129827507.93871057,155340265.15381062
2026-03-10 17:10:28.167003+00:00,BTC,2026-03-20,75000.0,156625080.2653624,0.0,71403.59,156625080.2653624,156625080.2653624
2026-03-10 17:10:28.167003+00:00,BTC,2026-03-20,76000.0,144643669.5028754,0.0,71403.59,144643669.5028754,144643669.5028754
2026-03-10 17:10:28.167003+00:00,BTC,2026-03-20,78000.0,79169083.54038242,0.0,71403.59,79169083.54038242,79169083.54038242
2026-03-10 17:10:28.167003+00:00,BTC,2026-03-20,80000.0,240291016.69617614,0.0,71403.59,240291016.69617614,240291016.69617614
2026-03-10 17:10:28.167003+00:00,BTC,2026-03-20,82000.0,174184220.12323707,0.0,71403.59,174184220.12323707,174184220.12323707
2026-03-10 17:10:28.167003+00:00,BTC,2026-03-20,85000.0,39095088.39436195,0.0,71403.59,39095088.39436195,39095088.39436195
2026-03-10 17:10:28.167003+00:00,BTC,2026-03-27,52000.0,0.0,-36321519.264662825,71403.59,-36321519.264662825,36321519.264662825
2026-03-10 17:10:28.167003+00:00,BTC,2026-03-27,54000.0,0.0,-15871545.405796656,71403.59,-15871545.405796656,15871545.405796656
2026-03-10 17:10:28.167003+00:00,BTC,2026-03-27,55000.0,15499356.901259825,-267068195.13216847,71403.59,-251568838.23090863,282567552.0334283
2026-03-10 17:10:28.167003+00:00,BTC,2026-03-27,56000.0,0.0,-37611432.848879516,71403.59,-37611432.848879516,37611432.848879516
2026-03-10 17:10:28.167003+00:00,BTC,2026-03-27,57000.0,0.0,-12190448.141747449,71403.59,-12190448.141747449,12190448.141747449
2026-03-10 17:10:28.167003+00:00,BTC,2026-03-27,58000.0,0.0,-187771649.77516383,71403.59,-187771649.77516383,187771649.77516383
2026-03-10 17:10:28.167003+00:00,BTC,2026-03-27,59000.0,0.0,-20021702.155015565,71403.59,-20021702.155015565,20021702.155015565
2026-03-10 17:10:28.167003+00:00,BTC,2026-03-27,60000.0,28174159.94617164,-907548528.2407414,71403.59,-879374368.2945697,935722688.186913
2026-03-10 17:10:28.167003+00:00,BTC,2026-03-27,62000.0,0.0,-354037941.8498297,71403.59,-354037941.8498297,354037941.8498297
2026-03-10 17:10:28.167003+00:00,BTC,2026-03-27,64000.0,55400003.976674095,-87596858.85544245,71403.59,-32196854.878768355,142996862.83211654
2026-03-10 17:10:28.167003+00:00,BTC,2026-03-27,65000.0,201410064.15373948,-425793846.1354648,71403.59,-224383781.9817253,627203910.2892042
2026-03-10 17:10:28.167003+00:00,BTC,2026-03-27,66000.0,230756872.8128354,-264529155.74505416,71403.59,-33772282.93221876,495286028.5578896
2026-03-10 17:10:28.167003+00:00,BTC,2026-03-27,67000.0,138331760.34374392,-175346671.89083153,71403.59,-37014911.54708761,313678432.23457545
2026-03-10 17:10:28.167003+00:00,BTC,2026-03-27,68000.0,419277998.0697378,-410386261.74217296,71403.59,8891736.327564836,829664259.8119107
2026-03-10 17:10:28.167003+00:00,BTC,2026-03-27,69000.0,70078506.77888693,-97355335.53603826,71403.59,-27276828.757151335,167433842.3149252
2026-03-10 17:10:28.167003+00:00,BTC,2026-03-27,70000.0,632491026.4426932,-973400401.180436,71403.59,-340909374.7377428,1605891427.6231294
2026-03-10 17:10:28.167003+00:00,BTC,2026-03-27,71000.0,135440926.34275237,-107501296.13916558,71403.59,27939630.203586787,242942222.48191795
2026-03-10 17:10:28.167003+00:00,BTC,2026-03-27,72000.0,645211715.741589,-163508018.36296135,71403.59,481703697.3786276,808719734.1045504
2026-03-10 17:10:28.167003+00:00,BTC,2026-03-27,73000.0,26231641.860849272,0.0,71403.59,26231641.860849272,26231641.860849272
2026-03-10 17:10:28.167003+00:00,BTC,2026-03-27,74000.0,554917764.8464209,-109311253.93520086,71403.59,445606510.91122,664229018.7816217
2026-03-10 17:10:28.167003+00:00,BTC,2026-03-27,75000.0,2331098179.4768124,-693749175.5113238,71403.59,1637349003.9654884,3024847354.9881363
2026-03-10 17:10:28.167003+00:00,BTC,2026-03-27,76000.0,377516408.4716394,-23274527.715214178,71403.59,354241880.7564252,400790936.1868536
2026-03-10 17:10:28.167003+00:00,BTC,2026-03-27,77000.0,37912242.736107916,0.0,71403.59,37912242.736107916,37912242.736107916
2026-03-10 17:10:28.167003+00:00,BTC,2026-03-27,78000.0,402126736.0250543,-55206262.015408345,71403.59,346920474.00964594,457332998.0404626
2026-03-10 17:10:28.167003+00:00,BTC,2026-03-27,80000.0,790176589.0223525,-301885664.96068925,71403.59,488290924.0616632,1092062253.9830418
2026-03-10 17:10:28.167003+00:00,BTC,2026-03-27,82000.0,175163126.87489557,-58489678.41159628,71403.59,116673448.46329929,233652805.28649187
2026-03-10 17:10:28.167003+00:00,BTC,2026-03-27,84000.0,297444895.2695717,-58928147.06077666,71403.59,238516748.20879507,356373042.3303484
2026-03-10 17:10:28.167003+00:00,BTC,2026-03-27,85000.0,401382359.01598054,-443220425.7040523,71403.59,-41838066.68807179,844602784.7200329
2026-03-10 17:10:28.167003+00:00,BTC,2026-03-27,86000.0,187924603.9551105,-45259141.846211664,71403.59,142665462.10889882,233183745.80132216
2026-03-10 17:10:28.167003+00:00,BTC,2026-03-27,88000.0,47002819.49760339,-40782682.84643991,71403.59,6220136.651163474,87785502.3440433
2026-03-10 17:10:28.167003+00:00,BTC,2026-03-27,90000.0,290898456.3678555,-159837118.04424194,71403.59,131061338.32361355,450735574.41209745
2026-03-10 17:10:28.167003+00:00,BTC,2026-03-27,92000.0,58561057.02890471,-42842465.803054705,71403.59,15718591.225850008,101403522.83195943
2026-03-10 17:10:28.167003+00:00,BTC,2026-04-24,50000.0,0.0,-77221466.98239516,71403.59,-77221466.98239516,77221466.98239516
2026-03-10 17:10:28.167003+00:00,BTC,2026-04-24,52000.0,0.0,-10344801.037057957,71403.59,-10344801.037057957,10344801.037057957
2026-03-10 17:10:28.167003+00:00,BTC,2026-04-24,55000.0,0.0,-82936854.83973472,71403.59,-82936854.83973472,82936854.83973472
2026-03-10 17:10:28.167003+00:00,BTC,2026-04-24,56000.0,0.0,-35990118.5414451,71403.59,-35990118.5414451,35990118.5414451
2026-03-10 17:10:28.167003+00:00,BTC,2026-04-24,57000.0,0.0,-13536444.925277906,71403.59,-13536444.925277906,13536444.925277906
2026-03-10 17:10:28.167003+00:00,BTC,2026-04-24,58000.0,0.0,-43051503.18231511,71403.59,-43051503.18231511,43051503.18231511
2026-03-10 17:10:28.167003+00:00,BTC,2026-04-24,59000.0,0.0,-67371217.79383136,71403.59,-67371217.79383136,67371217.79383136
2026-03-10 17:10:28.167003+00:00,BTC,2026-04-24,60000.0,0.0,-287747600.2609546,71403.59,-287747600.2609546,287747600.2609546
2026-03-10 17:10:28.167003+00:00,BTC,2026-04-24,61000.0,0.0,-76517877.75464061,71403.59,-76517877.75464061,76517877.75464061
2026-03-10 17:10:28.167003+00:00,BTC,2026-04-24,62000.0,0.0,-42511065.07983697,71403.59,-42511065.07983697,42511065.07983697
2026-03-10 17:10:28.167003+00:00,BTC,2026-04-24,63000.0,0.0,-40787781.3191048,71403.59,-40787781.3191048,40787781.3191048
2026-03-10 17:10:28.167003+00:00,BTC,2026-04-24,64000.0,20200148.698286653,-35403794.18498297,71403.59,-15203645.486696318,55603942.88326962
